,Country,CO2_Percent_Change,Forest_Area_Percent_Change,Predicted_Avg_Temp
0,Italy,5,1,14.114107
1,Italy,5,0.5,13.801972
2,Italy,5,0.25,13.654898
3,Italy,5,0,13.507822
4,Italy,5,0.25,13.654898
5,Italy,5,-0.5,13.214267
6,Italy,5,-1,12.923576
7,Italy,2,1,15.140333
8,Italy,2,0.5,14.849581
9,Italy,2,0.25,14.710144
10,Italy,2,0,14.570892
11,Italy,2,0.25,14.710144
12,Italy,2,-0.5,14.296531
13,Italy,2,-1,14.024389
14,Italy,1,1,15.497698
15,Italy,1,0.5,15.2191925
16,Italy,1,0.25,15.07994
17,Italy,1,0,14.9427395
18,Italy,1,0.25,15.07994
19,Italy,1,-0.5,14.670439
20,Italy,1,-1,14.412106
21,Italy,0,1,15.867493
22,Italy,0,0.5,15.588987
23,Italy,0,0.25,15.452276
24,Italy,0,0,13.970208333333332
25,Italy,0,0.25,15.452276
26,Italy,0,-0.5,15.057491
27,Italy,0,-1,14.818245
28,Italy,-1,1,16.23729
29,Italy,-1,0.5,15.9631815
30,Italy,-1,0.25,15.833557
31,Italy,-1,0,15.703932
32,Italy,-1,0.25,15.833557
33,Italy,-1,-0.5,15.46089
34,Italy,-1,-1,15.231897
35,Italy,-2,1,16.614765
36,Italy,-2,0.5,16.355516
37,Italy,-2,0.25,16.22727
38,Italy,-2,0,16.106276
39,Italy,-2,0.25,16.22727
40,Italy,-2,-0.5,15.86688
41,Italy,-2,-1,15.657068
42,Italy,-5,1,17.804564
43,Italy,-5,0.5,17.579014
44,Italy,-5,0.25,17.46817
45,Italy,-5,0,17.364254
46,Italy,-5,0.25,17.46817
47,Italy,-5,-0.5,17.171852
48,Italy,-5,-1,17.006336
49,Angola,5,1,22.858986
50,Angola,5,0.5,23.808838
51,Angola,5,0.25,24.29797
52,Angola,5,0,24.787104
53,Angola,5,0.25,24.29797
54,Angola,5,-0.5,25.76572
55,Angola,5,-1,26.745388
56,Angola,2,1,22.373573
57,Angola,2,0.5,23.353241
58,Angola,2,0.25,23.843452
59,Angola,2,0,24.334019
60,Angola,2,0.25,23.843452
61,Angola,2,-0.5,25.33581
62,Angola,2,-1,26.372995
63,Angola,1,1,22.235205
64,Angola,1,0.5,23.215237
65,Angola,1,0.25,23.706713
66,Angola,1,0,24.208447
67,Angola,1,0.25,23.706713
68,Angola,1,-0.5,25.241886
69,Angola,1,-1,26.281986
70,Angola,0,1,22.104347
71,Angola,0,0.5,23.09262
72,Angola,0,0.25,23.603376
73,Angola,0,0,22.1465
74,Angola,0,0.25,23.603376
75,Angola,0,-0.5,25.161987
76,Angola,0,-1,26.208443
77,Angola,-1,1,21.978739
78,Angola,-1,0.5,22.99887
79,Angola,-1,0.25,23.51892
80,Angola,-1,0,24.042006
81,Angola,-1,0.25,23.51892
82,Angola,-1,-0.5,25.088459
83,Angola,-1,-1,26.134916
84,Angola,-2,1,21.879694
85,Angola,-2,0.5,22.922024
86,Angola,-2,0.25,23.445251
87,Angola,-2,0,23.96848
88,Angola,-2,0.25,23.445251
89,Angola,-2,-0.5,25.014935
90,Angola,-2,-1,26.061388
91,Angola,-5,1,21.65585
92,Angola,-5,0.5,22.701443
93,Angola,-5,0.25,23.226704
94,Angola,-5,0,23.752554
95,Angola,-5,0.25,23.226704
96,Angola,-5,-0.5,24.804258
97,Angola,-5,-1,25.86745
98,Central African Republic,5,1,19.283304
99,Central African Republic,5,0.5,22.404781
100,Central African Republic,5,0.25,24.638683
101,Central African Republic,5,0,27.184534
102,Central African Republic,5,0.25,24.638683
103,Central African Republic,5,-0.5,32.645493
104,Central African Republic,5,-1,38.532295
105,Central African Republic,2,1,20.465092
106,Central African Republic,2,0.5,23.37304
107,Central African Republic,2,0.25,25.32227
108,Central African Republic,2,0,27.693287
109,Central African Republic,2,0.25,25.32227
110,Central African Republic,2,-0.5,32.96291
111,Central African Republic,2,-1,38.68301
112,Central African Republic,1,1,20.930372
113,Central African Republic,1,0.5,23.728643
114,Central African Republic,1,0.25,25.587557
115,Central African Republic,1,0,27.896229
116,Central African Republic,1,0.25,25.587557
117,Central African Republic,1,-0.5,33.10679
118,Central African Republic,1,-1,38.749977
119,Central African Republic,0,1,21.397215
120,Central African Republic,0,0.5,24.093273
121,Central African Republic,0,0.25,25.86181
122,Central African Republic,0,0,25.277083333333334
123,Central African Republic,0,0.25,25.86181
124,Central African Republic,0,-0.5,33.250725
125,Central African Republic,0,-1,38.820183
126,Central African Republic,-1,1,21.867226
127,Central African Republic,-1,0.5,24.466827
128,Central African Republic,-1,0.25,26.148632
129,Central African Republic,-1,0,28.311686
130,Central African Republic,-1,0.25,26.148632
131,Central African Republic,-1,-0.5,33.407127
132,Central African Republic,-1,-1,38.911026
133,Central African Republic,-2,1,22.366087
134,Central African Republic,-2,0.5,24.87216
135,Central African Republic,-2,0.25,26.470695
136,Central African Republic,-2,0,28.55802
137,Central African Republic,-2,0.25,26.470695
138,Central African Republic,-2,-0.5,33.574615
139,Central African Republic,-2,-1,39.01297
140,Central African Republic,-5,1,23.904024
141,Central African Republic,-5,0.5,26.099798
142,Central African Republic,-5,0.25,27.533371
143,Central African Republic,-5,0,29.358158
144,Central African Republic,-5,0.25,27.533371
145,Central African Republic,-5,-0.5,34.084373
146,Central African Republic,-5,-1,39.37033
147,Honduras,5,1,30.029743
148,Honduras,5,0.5,31.24113
149,Honduras,5,0.25,31.870855
150,Honduras,5,0,32.5392
151,Honduras,5,0.25,31.870855
152,Honduras,5,-0.5,33.875893
153,Honduras,5,-1,35.21258
154,Honduras,2,1,28.615967
155,Honduras,2,0.5,29.872885
156,Honduras,2,0.25,30.540325
157,Honduras,2,0,31.208672
158,Honduras,2,0.25,30.540325
159,Honduras,2,-0.5,32.545364
160,Honduras,2,-1,33.897373
161,Honduras,1,1,28.155651
162,Honduras,1,0.5,29.428469
163,Honduras,1,0.25,30.096813
164,Honduras,1,0,30.76516
165,Honduras,1,0.25,30.096813
166,Honduras,1,-0.5,32.101852
167,Honduras,1,-1,33.461357
168,Honduras,0,1,27.703566
169,Honduras,0,0.5,28.984959
170,Honduras,0,0.25,29.653307
171,Honduras,0,0,24.607899999999997
172,Honduras,0,0.25,29.653307
173,Honduras,0,-0.5,31.659569
174,Honduras,0,-1,33.025345
175,Honduras,-1,1,27.25148
176,Honduras,-1,0.5,28.541449
177,Honduras,-1,0.25,29.209793
178,Honduras,-1,0,29.87814
179,Honduras,-1,0.25,29.209793
180,Honduras,-1,-0.5,31.223532
181,Honduras,-1,-1,32.58933
182,Honduras,-2,1,26.799397
183,Honduras,-2,0.5,28.097939
184,Honduras,-2,0.25,28.766283
185,Honduras,-2,0,29.434628
186,Honduras,-2,0.25,28.766283
187,Honduras,-2,-0.5,30.7875
188,Honduras,-2,-1,32.154045
189,Honduras,-5,1,25.443144
190,Honduras,-5,0.5,26.767405
191,Honduras,-5,0.25,27.435753
192,Honduras,-5,0,28.113678
193,Honduras,-5,0.25,27.435753
194,Honduras,-5,-0.5,29.486155
195,Honduras,-5,-1,30.896734
196,Australia,5,1,18.209467
197,Australia,5,0.5,17.79942
198,Australia,5,0.25,17.949602
199,Australia,5,0,18.467402
200,Australia,5,0.25,17.949602
201,Australia,5,-0.5,20.587698
202,Australia,5,-1,23.637894
203,Australia,2,1,14.343605
204,Australia,2,0.5,14.0283785
205,Australia,2,0.25,13.937029
206,Australia,2,0,14.276052
207,Australia,2,0.25,13.937029
208,Australia,2,-0.5,16.799355
209,Australia,2,-1,19.83913
210,Australia,1,1,13.2192
211,Australia,1,0.5,12.923969
212,Australia,1,0.25,12.857688
213,Australia,1,0,13.147656
214,Australia,1,0.25,12.857688
215,Australia,1,-0.5,15.683608
216,Australia,1,-1,18.681072
217,Australia,0,1,12.254717
218,Australia,0,0.5,11.846357
219,Australia,0,0.25,11.783063
220,Australia,0,0,17.431607142857143
221,Australia,0,0.25,11.783063
222,Australia,0,-0.5,14.646626
223,Australia,0,-1,17.61868
224,Australia,-1,1,11.575043
225,Australia,-1,0.5,10.769006
226,Australia,-1,0.25,10.84117
227,Australia,-1,0,11.285311
228,Australia,-1,0.25,10.84117
229,Australia,-1,-0.5,13.693641
230,Australia,-1,-1,16.671852
231,Australia,-2,1,11.252049
232,Australia,-2,0.5,9.801504
233,Australia,-2,0.25,9.97672
234,Australia,-2,0,10.511028
235,Australia,-2,0.25,9.97672
236,Australia,-2,-0.5,12.852226
237,Australia,-2,-1,15.792007
238,Australia,-5,1,11.810442
239,Australia,-5,0.5,10.111338
