Year,Country,AverageTemperature
1781,United States,12.125351941747573
1782,United States,11.607714401294498
1783,United States,12.229791666666667
1784,United States,12.121369791666668
1785,United States,11.976161458333333
1786,United States,12.511127976190478
1787,United States,12.536011160714287
1788,United States,13.088136904761903
1789,United States,12.818042410714286
1790,United States,12.733185267857143
1791,United States,12.88051711309524
1792,United States,12.348821428571428
1793,United States,13.045365327380953
1794,United States,13.118737351190475
1795,United States,11.780040780141844
1796,United States,12.497892642642642
1797,United States,12.378203453453454
1798,United States,13.44799649859944
1799,United States,13.098682072829133
1800,United States,13.129939075630253
1801,United States,13.492952380952381
1802,United States,13.705218487394959
1803,United States,13.523490196078432
1804,United States,13.415436274509803
1805,United States,13.490627232142856
1806,United States,12.857834077380952
1807,United States,12.646421130952382
1808,United States,12.687176339285713
1809,United States,11.902644345238096
1810,United States,12.14628199404762
1811,United States,12.203002252252253
1812,United States,11.13931231884058
1813,United States,12.262653153153153
1814,United States,12.05826951951952
1815,United States,11.61661884057971
1816,United States,11.158023273273274
1817,United States,11.243321739130435
1818,United States,11.87465990990991
1819,United States,12.04100075075075
1820,United States,12.762375816993465
1821,United States,12.684804809843401
1822,United States,13.517190315315315
1823,United States,13.18272311827957
1824,United States,13.712813978494623
1825,United States,14.354722222222223
1826,United States,13.999169871794871
1827,United States,14.2656008492569
1828,United States,14.692399681528663
1829,United States,13.587045647558385
1830,United States,14.645777070063694
1831,United States,12.983776539278132
1832,United States,13.743901709401708
1833,United States,13.574429980276134
1834,United States,14.043427852348994
1835,United States,13.214383136094675
1836,United States,12.641478494623655
1837,United States,13.232530913978495
1838,United States,12.739051388888889
1839,United States,13.638158239700374
1840,United States,13.566708801498129
1841,United States,13.349823033707866
1842,United States,13.724092696629214
1843,United States,12.563090729783038
1844,United States,13.614777173913044
1845,United States,13.713294802867384
1846,United States,14.487884615384615
1847,United States,13.423967647058824
1848,United States,13.044971734892787
1849,United States,13.995245467224548
1850,United States,13.908794097222222
1851,United States,14.084916319444444
1852,United States,13.807729513888889
1853,United States,14.28361889818689
1854,United States,14.383676736111111
1855,United States,14.129930962343096
1856,United States,13.398675
1857,United States,13.743539583333334
1858,United States,14.062343402777778
1859,United States,13.79644548611111
1860,United States,14.091474305555558
1861,United States,14.442773263888888
1862,United States,14.141949305555555
1863,United States,14.056574305555555
1864,United States,14.112805902777778
1865,United States,14.203125694444445
1866,United States,14.052698958333334
1867,United States,14.233953819444446
1868,United States,13.719762847222222
1869,United States,13.809574652777776
1870,United States,14.248711458333332
1871,United States,14.299522222222224
1872,United States,13.580592708333334
1873,United States,13.674642708333332
1874,United States,14.08703611111111
1875,United States,13.527785069444445
1876,United States,13.894424652777777
1877,United States,14.375486458333333
1878,United States,14.41652048611111
1879,United States,14.297007670850768
1880,United States,13.88102440725244
1881,United States,14.36086680613668
1882,United States,13.981955555555555
1883,United States,13.721087847222222
1884,United States,13.747696180555554
1885,United States,13.66091423611111
1886,United States,13.732462152777778
1887,United States,13.986897916666667
1888,United States,13.802401041666666
1889,United States,14.267064583333333
1890,United States,14.354834027777777
1891,United States,13.99381423611111
1892,United States,13.741699442119945
1893,United States,13.621654513888888
1894,United States,14.095894444444443
1895,United States,13.559709722222221
1896,United States,14.3658125
1897,United States,14.064379166666669
1898,United States,14.076339236111112
1899,United States,13.96689375
1900,United States,14.551635069444446
1901,United States,13.960043055555555
1902,United States,13.988189583333332
1903,United States,13.673805208333334
1904,United States,13.778549305555556
1905,United States,13.812581944444444
1906,United States,14.212516666666668
1907,United States,13.995848263888888
1908,United States,14.229247222222224
1909,United States,14.008799999999999
1910,United States,14.278414930555556
1911,United States,14.372245833333332
1912,United States,13.512187847222224
1913,United States,14.234428472222223
1914,United States,14.11521875
1915,United States,14.023046875
1916,United States,13.820506944444444
1917,United States,13.37438402777778
1918,United States,14.19143263888889
1919,United States,14.116540625
1920,United States,13.69134548611111
1921,United States,15.080069444444444
1922,United States,14.38487638888889
1923,United States,14.099683333333335
1924,United States,13.686202430555555
1925,United States,14.463518055555555
1926,United States,14.209697916666666
1927,United States,14.49054375
1928,United States,14.249122222222223
1929,United States,14.059352083333334
1930,United States,14.328534027777778
1931,United States,15.071449305555555
1932,United States,14.364307638888889
1933,United States,14.710123958333334
1934,United States,15.087672916666666
1935,United States,14.200762152777777
1936,United States,14.555315277777776
1937,United States,14.258187152777777
1938,United States,14.860719791666666
1939,United States,14.90385486111111
1940,United States,14.132700347222224
1941,United States,14.613241666666665
1942,United States,14.30139826388889
1943,United States,14.413729166666666
1944,United States,14.263439583333334
1945,United States,14.30821736111111
1946,United States,14.774340625
