,Country,CO2_Percent_Change,Forest_Area_Percent_Change,Predicted_Avg_Temp
0,United States,5,1,24.56187
1,United States,5,0.5,20.307055
2,United States,5,0.25,18.382376
3,United States,5,0,16.664324
4,United States,5,0.25,18.382376
5,United States,5,-0.5,13.856143
6,United States,5,-1,12.233767
7,United States,2,1,24.344927
8,United States,2,0.5,20.41169
9,United States,2,0.25,18.777716
10,United States,2,0,17.249268
11,United States,2,0.25,18.777716
12,United States,2,-0.5,14.802866
13,United States,2,-1,13.416413
14,United States,1,1,24.313248
15,United States,1,0.5,20.560358
16,United States,1,0.25,18.95083
17,United States,1,0,17.48317
18,United States,1,0.25,18.95083
19,United States,1,-0.5,15.1703
20,United States,1,-1,13.82351
21,United States,0,1,24.293087
22,United States,0,0.5,20.71972
23,United States,0,0.25,19.143902
24,United States,0,0,15.950963541666667
25,United States,0,0.25,19.143902
26,United States,0,-0.5,15.546905
27,United States,0,-1,14.239119
28,United States,-1,1,24.305504
29,United States,-1,0.5,20.892832
30,United States,-1,0.25,19.360853
31,United States,-1,0,17.99848
32,United States,-1,0.25,19.360853
33,United States,-1,-0.5,15.924769
34,United States,-1,-1,14.654732
35,United States,-2,1,24.35053
36,United States,-2,0.5,21.066221
37,United States,-2,0.25,19.58745
38,United States,-2,0,18.273773
39,United States,-2,0.25,19.58745
40,United States,-2,-0.5,16.302633
41,United States,-2,-1,15.072864
42,United States,-5,1,24.794695
43,United States,-5,0.5,21.699036
44,United States,-5,0.25,20.34306
45,United States,-5,0,19.151018
46,United States,-5,0.25,20.34306
47,United States,-5,-0.5,17.436228
48,United States,-5,-1,16.36087
